job_title,role,industry
 Online Bidder,Retail Sales,"IT-Software, Software Services"
 Huge Opening in Tech Support/ Fixed Salary,Voice,"IT-Software, Software Services"
"Hiring For Call Center Gujrati, Kannada, Marathi @ Noida",Voice,Automobile / Auto Anciliary / Auto Components
 Credit Control Executive,Accounts,"Accounting, Finance"
 Senior 2D Animator - SUMO,Creative,"Media, Entertainment, Internet"
 Informatica MDM,Programming & Design,"IT-Software, Software Services"
 Informatics Systems Engineer,Programming & Design,"IT-Software, Software Services"
 HOT || Job Opportunity For Oracle app (scm/finance) ,Programming & Design,"IT-Software, Software Services"
 Product Manager,Programming & Design,"Advertising, PR, MR, Event Management"
 Fixed Salary with Huge Incentives..Night Shift,Voice,"IT-Software, Software Services"
 International BPO Voice Process. P.A 7 Lac.,Voice,"BPO, Call Centre, ITeS"
 Executive- Accountant,Accounts,"Consumer Electronics, Appliances, Durables"
 CodeIgniter Developers,Programming & Design,"BPO, Call Centre, ITeS"
 Operation Executive,Operations,"Courier, Transportation, Freight , Warehousing"
 Immediate Opening For Mainframe Assembler- Teamware Solutions- TOP MNC,Programming & Design,"IT-Software, Software Services"
 Workforce Analyst - RTA,Operations,"IT-Software, Software Services"
 Senior Android Developer,Programming & Design,"Media, Entertainment, Internet"
 Zonal Sales Manager,Retail Sales,"Education, Teaching, Training"
 .Net Full Stack Developer,Programming & Design,"IT-Software, Software Services"
 Urgent Openings for Broking and Financial Services Companies Job,Life Insurance/Financial Services,"Recruitment, Staffing"
 Technical Lead- Leading SAAS Startup,Programming & Design,"IT-Software, Software Services"
 Immediate Openings For Freshers in Medical Coding.,Medical Professional,"Medical, Healthcare, Hospitals"
 Senior Executive - Invoicing / Vendor Management (admin/hr) @ Gurgaon,Accounts,"Internet, Ecommerce"
 Ref. No. Business Development,Retail Sales,"IT-Software, Software Services"
 Regional Sales Manager,Retail Sales,"Education, Teaching, Training"
 Team Lead Audit & Receipt,Finance/Audit,Insurance
 Travel Sales Executive for Travel Company in Okhla.,Ticketing/Travel/Documentation,"Recruitment, Staffing"
US IT Technical Recruiter Walk In,HR/ Recruitment / IR,IT-Software / Software Services
 Python Developer,Programming & Design,"IT-Software, Software Services"
 Azure Developer,Programming & Design,"IT-Software, Software Services"
 Data Processing Associate,Back Office/Web/Transaction Processing,"IT-Software, Software Services"
 Skype of Business,Operations,"Recruitment, Staffing"
 Social Media Manager with a Leading Education Brand In Gurgaon.,Advertising,"Education, Teaching, Training"
 Assistant Vice President - Java/spring/hibernate,Senior Management,"IT-Software, Software Services"
 A320 Senior Line Captains,R&D,"Recruitment, Staffing"
 Frankfinn Hiring For Tele- Counselor Profile with Salary 35k+ Dayshift,Voice,"BPO, Call Centre, ITeS"
 Assistant Professor - History & Culture (Vacancy-1),,"Education, Teaching, Training"
 Urgent Opening || Part Time Brand Ambassador || Loc_delhi NCR ,Other,"IT-Software, Software Services"
 Analyst / Senior Analyst,Voice,"Medical, Healthcare, Hospitals"
 Electrical technician,Production/Manufacturing/Maintenance,"Strategy, Management Consulting Firms"
 Assistant Manager- Project Management | Leading Financial Services,,"Banking, Financial Services, Broking"
 Sr. Accountant,Accounts,"Pharma, Biotech, Clinical Research"
 Merchandiser - Female Candidate,Production/Merchandising/Business Development,"Textiles, Garments, Accessories"
 Chief Financial Officer,Senior Management,Other
 Hybris,Programming & Design,"Recruitment, Staffing"
 Production Manager,Production/Manufacturing/Maintenance,"BPO, Call Centre, ITeS"
 One of the fastest growing Comany is hiring in Kolkata.,Voice,"IT-Software, Software Services"
 Sales Manager- West,Retail Sales,"IT-Software, Software Services"
 International bpo Wants Technical Support Executive(inbound),Voice,"IT-Software, Software Services"
 Looking For Infrastructure Managers,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
" Hiring For Officer / Sr. Officer - QA @ Otsuka Pharma, Ahmedabad.",,"Pharma, Biotech, Clinical Research"
 Sales Manager,Retail Sales,"Strategy, Management Consulting Firms"
 LOB Production Support Branch and Banking,Project Management,"Banking, Financial Services, Broking"
" UI Designer, Mumbai",Programming & Design,"Recruitment, Staffing"
 Tax Consultant,Other,"Banking, Financial Services, Broking"
 Software Developer (c++),Programming & Design,"IT-Software, Software Services"
 CIB â€“ Investment Banking - CRG- Analyst,Finance/Audit,"Banking, Financial Services, Broking"
 Lead- Interior Designer @ Airseva (An Airbnb Co.),Interior Design,"Architecture, Interior Design"
 Commercial Manager,Purchase/Material Management,"Banking, Financial Services, Broking"
 PHP Developers/ Senior Developers,Programming & Design,"Media, Entertainment, Internet"
 Test Engineer/ QA,Programming & Design,"IT-Software, Software Services"
 Mainframe Developer,Programming & Design,"Retail, Wholesale"
 Part Time - (mechanical),Other,"Education, Teaching, Training"
 Associate Professor - School of Sanskrit And Indic Studies (SSIS),,"Education, Teaching, Training"
 Mobile Testing Experts / Mobile Test Leads,Programming & Design,"IT-Software, Software Services"
 SSE- Ruby on Rails,Programming & Design,"Recruitment, Staffing"
 Lisa Test Manager,Programming & Design,"IT-Software, Software Services"
HR Trainer Nagarbhavi & Rajajinagar - Bangalore,HR/ Recruitment / IR,Medical / Healthcare / Hospitals
,,
 Sales Engineer,Corporate Sales,"Recruitment, Staffing"
" Hiring | Looking for Territory Manager-ent ,medtronic US Based MNC",Corporate Sales,Medical Devices / Equipments
 Android Developer,Programming & Design,"IT-Software, Software Services"
 Technical Recruiter cum Team Leader - Talent Acquisition - Ecommerce,HR/ Recruitment / IR,"Internet, Ecommerce"
 Executive- Sales & Marketing /software,Retail Sales,"IT-Software, Software Services"
 IT Software Solution Sales | Inside Sales Profile In Microsoft 6lakh,Channel Sales,"IT-Software, Software Services"
 Role Designation- Consultant,Programming & Design,"IT-Software, Software Services"
 User Interface Developer,Programming & Design,"Internet, Ecommerce"
 Medical Coding Jobs For 2019 Passed Out Pharmacist/pharmacy/pharm D,Medical Professional,"Medical, Healthcare, Hospitals"
 Teamcenter Support Lead,Programming & Design,"IT-Software, Software Services"
 Web RTC Expert,Programming & Design,"IT-Software, Software Services"
" HR Recruiter,",HR/ Recruitment / IR,"Industrial Products, Heavy Machinery"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Specialist Network Designer,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 SEO Executive,Admin/Maintenance/Security/Datawarehousing,"Travel , Hotels , Restaurants , Airlines , Railways"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
Walk-in for Associate/ Sr. Associate,Voice,IT-Software / Software Services
 Mobiquity Inc - Hiring for Senior Deveops Engineer,Programming & Design,"IT-Software, Software Services"
 Business Analyst,System Design/Implementation/ERP/CRM,IT-Hardware & Networking
 Nursing Supervisor,Medical Professional,"Medical, Healthcare, Hospitals"
Job Description,Programming & Design,IT-Software / Software Services
 sales executive for jewelry showroom,Retail Sales,"Recruitment, Staffing"
 Technical Lead - PHP,Voice,"IT-Software, Software Services"
 Spadeworx_ We are Hiring Magneto Lead_pune Location,Programming & Design,"IT-Software, Software Services"
 Business Analyst,HR/ Recruitment / IR,"IT-Software, Software Services"
 Internal / General Medicine Doctors Interview For Govt Job of KSA,Medical Professional,"Medical, Healthcare, Hospitals"
 Senior Deployment/ Implementation Engineer,Programming & Design,"IT-Software, Software Services"
 Assistant General Manager - MEP,Site Engineering,"Construction, Engineering, Cement, Metals"
 Medical Coder Trainee,Other,"BPO, Call Centre, ITeS"
 Site Engineer - Civil Engineer - Construction - Nikol - ,Site Engineering,"Recruitment, Staffing"
 Scheduling Associate Training Coordinator,Voice,"BPO, Call Centre, ITeS"
 Lead Generation Executive ( Email Marketing),Online/Digital Marketing,"IT-Software, Software Services"
 Lead Information Security Auditor - Applications Security,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Sales Manager - Private Banking,Life Insurance/Financial Services,"Education, Teaching, Training"
 Manual Test Engineer+ LMS/ Loans,Programming & Design,"IT-Software, Software Services"
 Regional Manager,Retail Sales,"Pharma, Biotech, Clinical Research"
 Business Development | ARCON,Institutional Sales,"Banking, Financial Services, Broking"
 Delv Software Engineer,Programming & Design,"IT-Software, Software Services"
" Openings with Top MNC for ""cord Developer",Programming & Design,"IT-Software, Software Services"
 Graphic Designer/DTP Operator Print Media,Creative,"BPO, Call Centre, ITeS"
 HTML Developer,Programming & Design,"IT-Software, Software Services"
" Male Accounts Executive - Marol, Andheri East, Mumbai",Accounts,"Education, Teaching, Training"
 Corporate Hr Executive,HR/ Recruitment / IR,"Recruitment, Staffing"
 Embedded Software Development - WLAN,Programming & Design,"IT-Software, Software Services"
 Urgent Hiring For Social Media Day Shift ,Voice,"BPO, Call Centre, ITeS"
 Walkin Sbicap Sec Cluster Head - Home Loan,Retail Sales,"Banking, Financial Services, Broking"
 International Bpo!voice Process!sal-upto28k+5 Day+cab+day/uk/us Shift,Voice,"BPO, Call Centre, ITeS"
 Senior Accounts Executive,Accounts,"IT-Software, Software Services"
 Export Executive,Documentation/Shipping,"FMCG, Foods, Beverage"
 Executive /Sr. Executive- Sales/PRE,Medical Professional,"Medical, Healthcare, Hospitals"
 Recruitment Consultant- Walk In Interview - 1st August To 10th August,HR/ Recruitment / IR,"Recruitment, Staffing"
 Graphic Designer,Programming & Design,"IT-Software, Software Services"
 Evaluator,Site Engineering,"Automobile, Auto Anciliary, Auto Components"
 Sales Executive - Sanitaryware - Gurgaon,Retail Sales,"Ceramics, Sanitary ware"
 Delv Senior Software Eng,Programming & Design,"IT-Software, Software Services"
Urgent Opening For Salesforce Release Management @ Pune Location,Programming & Design,IT-Software / Software Services
 DevOps Consultant DOJ on or before 17th Dec,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
Assistant Designer,Site Engineering,Construction / Engineering / Cement / Metals
 Marketing Executive (male),Marketing,"Industrial Products, Heavy Machinery"
 Talent Acquisition Specialist IT TalentPundits,HR/ Recruitment / IR,"Recruitment, Staffing"
 Front Office Executive for a five star Hotel,Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways"
 Role Designation - Technology Architect / Senior Technology Architect,Programming & Design,"IT-Software, Software Services"
Solution Architect - Microservices/api,System Design/Implementation/ERP/CRM,IT-Software / Software Services
 Assistant Manager / Manager - Marketing &amp; Inside Sales,Corporate Sales,"Banking, Financial Services, Broking"
 Senior Devops Engineer (gurgaon),Programming & Design,"Medical, Healthcare, Hospitals"
 Radar Testing,Programming & Design,"Recruitment, Staffing"
 Senior Developer,Programming & Design,"IT-Software, Software Services"
 IOS Application Developer,Programming & Design,"Internet, Ecommerce"
 Web Designer,Creative,"IT-Software, Software Services"
 Project Manager,Project Management,"Oil and Gas, Energy, Power, Infrastructure"
 Head - Business Development,Senior Management,"IT-Software, Software Services"
 Lead - Software Engineering - Cyber Security,Programming & Design,"Banking, Financial Services, Broking"
 Consultant DMS SAP Master Data,Other,"FMCG, Foods, Beverage"
 HP Network Automation,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
Manager Business Valuation with Big 4 For Gurgaon Location,Finance/Audit,Banking / Financial Services / Broking
 Officer/executive -purchase .,Purchase/Material Management,"Medical, Healthcare, Hospitals"
 Product Manager,Marketing,"Recruitment, Staffing"
 Support Engineer,Admin/Maintenance/Security/Datawarehousing,"Internet, Ecommerce"
SAP Ariba – Solution Architect (strategic Procurement),System Design/Implementation/ERP/CRM,IT-Software / Software Services
 Backend Coordinators For Leading Pharma,Sales Support,"Pharma, Biotech, Clinical Research"
 Junior Accountant/ Executive,Accounts,"Pharma, Biotech, Clinical Research"
 SAP ABAP Consultant - Edi/idoc/webmethods,Other,"IT-Software, Software Services"
 IT Program Manager_SM Level,Project Management,"IT-Software, Software Services"
 Lead Engineer - Web Development - Python/java/ruby/c#,Programming & Design,"IT-Software, Software Services"
 Technical Lead - Servicenow,Programming & Design,"IT-Software, Software Services"
 Assistant Professor - Bio-Physics,,"Education, Teaching, Training"
,,
 Data Entry | Back Office Executive | Fresher | Computer Operator,Other,"BPO, Call Centre, ITeS"
